event_dt,ticker,company,headline,url,evidence,severity
2022-04-14,COST,Costco,Costco Declares Special Cash Dividend of $15.00 Per Share,,Costco special cash dividend $15.00 per share,0.90
2022-11-03,CVX,Chevron,Chevron Raises Quarterly Dividend by 6% to $1.51 Per Share,,Chevron raises quarterly dividend,0.60
2023-02-01,META,Meta Platforms,Meta Platforms Initiates Quarterly Dividend of $0.50 Per Share,,Meta initiates quarterly dividend,0.70
2023-04-27,GOOGL,Alphabet,Alphabet Declares Its First-Ever Quarterly Dividend of $0.20 Per Share,,Alphabet declares first dividend,0.70
2023-06-15,INTC,Intel,Intel Cuts Quarterly Dividend by 66% to Preserve Cash,,Intel cuts quarterly dividend,0.65
2023-08-10,DIS,Disney,Disney Reinstates Dividend After Two-Year Suspension at $0.30 Per Share,,Disney reinstates dividend,0.70
2023-11-28,MSFT,Microsoft,Microsoft Raises Quarterly Dividend by 10% to $0.75 Per Share,,Microsoft raises quarterly dividend,0.60
2024-01-22,JPM,JPMorgan,JPMorgan Hikes Dividend to $1.05 Per Share,,JPMorgan hikes dividend,0.60
2024-03-15,BA,Boeing,Boeing Suspends Dividend Amid 737 MAX Quality Concerns,,Boeing suspends dividend,0.65
2024-05-20,AAPL,Apple,Apple Raises Quarterly Dividend by 4% and Announces $110 Billion Buyback,,Apple raises quarterly dividend,0.60
2024-08-07,WFC,Wells Fargo,Wells Fargo Increases Quarterly Dividend by 14% to $0.40 Per Share,,Wells Fargo increases quarterly dividend,0.60
2024-12-10,COST,Costco,Costco Announces Special Dividend of $15 Per Share,,Costco special dividend $15 per share,0.90
